地表水环境质量数据报表,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
01月01日0时00分~12月31日23时59分,,,,,,,,,,,,,,,,,,,,
自动站名称：■汕头练江水站,,,,,,,,,,,上报时间：2019-01-21,,,,,,,,,
,水质基本参数均值,,,,,污染物监测指标均值,,,,,,,,,,,,,,
时间,水温,pH,溶解氧,电导率,浊度,氨氮,总磷,CODcr,挥发酚,六价铬,铅,镉,阴离子表面活性剂,硫化物,时段累积流量,水位,断面平均流速,当前瞬时流速,瞬时流量,断面面积
,℃,无量纲,mg/L,μS/cm,NTU,mg/L,mg/L,mg/L,mg/L,mg/L,ug/L,ug/L,mg/L,mg/L,10^4m3/h,m,m/s,m/s,m3/s,m2
2018/1/1 12:00,20,7.33,0.93,701,38,4.67,0.481,70.2,0.002L,0.007,1L,0.1L,lr,0.02,6.35,1.17,0.02,0,5.9,236
2018/1/1 14:00,20.7,7.34,0.99,688,48,5.24,0.864,68.9,0.002L,0.009,1L,0.1L,lr,0.02,7.56,1.17,0.03,0,6.61,236
2018/1/1 16:00,21,7.35,0.93,688,55,5.08,0.849,68.5,0.002L,0.009,1L,0.1L,lr,0.01,6.99,1.19,0.03,0.01,8.09,238
2018/1/1 18:00,20.9,7.34,1.26,680,54,4.87,0.854,68.4,0.002L,0.007,1L,0.1L,lr,0.02,8.48,1.2,0.06,0.04,14.8,239
2018/1/1 20:00,20.6,7.33,1.01,659,55,4.73,0.841,64.1,0.002L,0.011,1L,0.1L,lr,0.01,11.41,1.18,0.06,0.04,13.3,237
2018/1/1 22:00,20.2,7.33,0.83,664,48,4.84,0.845,64.9,0.002L,0.009,1L,0.1L,lr,0.05,11.09,1.18,0.07,0.05,16.1,237
2018/1/2 0:00,20.2,7.34,0.93,666,40,4.96,0.832,65.4,,0.007,1L,0.1L,,0.02,10.34,1.2,0.06,0.04,13.4,239
2018/1/2 2:00,20.1,7.33,0.84,642,32,4.86,0.83,65.1,0.002L,0.006,1L,,lr,0.02,10.03,1.21,0.06,0.04,13.4,240
2018/1/2 4:00,19.9,,0.78,,32,4.75,0.803,,,0.01,1L,0.1L,,0.01,,,,,,
2018/1/2 6:00,19.7,7.26,1.2,553,46,4.4,,53,0.002L,0.009,1L,0.1L,lr,0.01L,11.66,1.2,0.05,0.03,12.2,239
2018/1/2 8:00,19.5,7.26,1.34,572,44,4.32,0.757,58.1,0.002L,0.009,1L,0.1L,lr,0.02,10.6,1.2,0.06,0.04,13.9,239
2018/1/2 10:00,19.7,7.26,0.91,579,53,4.66,0.755,62.4,0.002L,0.005,1L,0.1L,lr,0.02,9.92,1.21,0.05,0.03,13,240
2018/1/2 12:00,20.3,7.4,2.77,594,74,4.57,0.807,68.3,0.002L,0.013,1L,0.1L,lr,0.02,7.47,1.23,0.04,0.01,9.44,242
2018/1/2 14:00,20.7,7.31,0.93,612,52,5.17,0.826,61,0.002L,0.009,1L,0.1L,lr,0.02,7.36,1.25,0.04,0.02,9.76,244
2018/1/2 16:00,21.3,7.44,2.9,619,58,4.98,0.814,66.8,0.002L,0.011,1L,0.1L,0.02L,0.01,7.16,1.25,0.04,0.02,10.2,244
2018/1/2 18:00,21.1,7.39,2.38,611,53,4.7,0.828,64,0.002L,0.008,1L,0.1L,0.02L,0.02,7.83,1.25,0.05,0.03,12.7,244
2018/1/2 20:00,20.8,7.35,1.59,623,51,4.66,0.846,65.7,0.002L,0.008,1L,0.1L,0.12,0.01,11.31,1.25,0.06,0.04,15.1,244
2018/1/2 22:00,20.6,7.3,1.02,599,46,4.96,lp,61.9,0.002L,lp,1L,lr,lr,lp,12.06,1.25,0.07,0.06,17.8,244
2018/1/3 0:00,20.5,7.3,1.01,572,40,lp,lp,57.4,lp,lp,lr,lr,lr,lp,10.27,1.27,0.07,0.06,18,246
2018/1/3 2:00,20.3,7.29,1.03,565,34,lp,lp,58,lp,lp,lr,lr,lr,lp,11.63,1.26,0.06,0.04,14,245
2018/1/3 4:00,20.2,7.28,0.98,555,35,lp,lp,57.2,0.002L,lp,lr,lr,lr,lp,17.68,1.16,0.12,0.11,28.2,235
2018/1/3 6:00,20.2,7.35,1.03,646,35,4.96,lp,65.2,0.002L,0.006,lr,0.1L,0.09,0.03,20.46,1.02,0.13,0.13,28.6,220
2018/1/3 8:00,20.3,7.39,0.95,713,69,5.26,0.768,69.4,0.002L,0.009,1L,0.1L,0.15,0.04,24.67,0.83,0.21,0.22,42.2,201
2018/1/3 10:00,20.5,7.39,0.93,718,74,5.43,1.163,71.8,0.002L,0.008,1L,0.1L,0.17,0.02,29.9,0.95,0.17,0.18,36.2,213
2018/1/3 12:00,21,7.36,0.79,724,68,6.24,1.169,74.5,0.002L,0.007,1L,0.1L,0.19,0.01L,15.2,0.87,0.12,0.11,24.6,205
2018/1/3 14:00,21.1,7.36,0.84,713,67,6.09,1.166,75.3,0.002L,0.006,1L,0.1L,0.18,0.01,14.21,0.81,0.08,0.06,14.9,199
2018/1/3 16:00,21.4,7.36,1.16,716,62,6.26,1.149,72.9,0.002L,0.005,1L,0.1L,0.19,0.01L,8.23,0.8,0.03,0,5.15,198
2018/1/3 18:00,21.3,7.36,0.77,714,59,6.34,1.166,73.5,0.002L,0.005L,1L,0.1L,0.19,0.01L,10.26,0.81,0.08,0.06,14.9,199
2018/1/3 20:00,21,7.36,0.79,705,56,6.1,1.152,73.1,0.002L,0.009,1L,0.1L,0.19,0.01,12.27,0.84,0.11,0.1,22.2,202
2018/1/3 22:00,20.9,7.33,1.09,652,53,5.87,1.052,67.4,0.002L,0.008,1L,0.1L,0.18,0.01,,,,,,
2018/1/4 0:00,20.8,7.32,0.83,632,49,5.81,1.033,67.3,0.002L,0.007,1L,0.1L,0.16,0.01,,,,,,
2018/1/4 2:00,20.7,7.3,0.73,603,51,5.42,0.969,65.3,0.002L,0.01,1L,0.1L,0.18,0.02,,,,,,
2018/1/4 4:00,20.5,7.31,0.73,615,43,5.86,1.007,68,0.002L,0.006,1L,0.1L,0.17,0.02,,,,,,
2018/1/4 6:00,20.5,7.31,0.76,627,43,5.49,1.025,68.4,0.002L,0.007,1L,0.1L,0.17,0.03,,,,,,
2018/1/4 8:00,20.5,7.31,0.85,623,43,5.35,1.027,70.1,0.002L,0.006,1L,0.1L,0.16,0.03,,,,,,
2018/1/4 10:00,20.5,7.29,1.11,598,52,4.84,0.358,69.2,0.002L,0.008,1L,0.1L,0.16,0.01,,,,,,
2018/1/4 12:00,20.5,7.28,0.87,584,55,5.34,0.908,68.1,0.002L,0.007,1L,0.1L,0.15,0.03,,,,,,
2018/1/4 14:00,20.6,7.3,0.72,622,44,5.42,0.942,71.6,0.002L,0.007,1L,0.1L,0.16,0.02,,,,,,
2018/1/4 16:00,20.7,7.3,0.78,621,42,5.62,0.955,73,0.002L,0.009,1L,0.1L,0.15,0.02,,,,,,
2018/1/4 18:00,20.6,7.29,0.9,624,44,5.19,0.933,72.7,0.002L,0.01,1L,0.1L,0.16,0.01,,,,,,
2018/1/4 20:00,20.5,7.3,0.78,611,41,5.11,0.935,70.5,0.002L,0.008,1L,0.1L,0.16,0.01L,,,,,,
2018/1/4 22:00,20.5,7.29,0.77,609,38,5.36,0.937,69.9,0.002L,0.008,1L,0.1L,0.16,0.02,6.84,1.01,0.04,0.02,9.42,219
2018/1/5 0:00,20.5,7.29,0.86,605,32,5.31,0.942,68.9,0.002L,0.01,1L,0.1L,0.16,0.02,8.48,1.01,0.04,0.02,9.86,219
2018/1/5 2:00,20.4,7.29,0.76,608,30,5.5,0.929,66.8,0.002L,0.007,1L,0.1L,0.16,0.02,8.24,1.02,0.05,0.03,11.4,220
2018/1/5 4:00,20.4,7.27,0.77,602,29,5.53,0.934,67,0.002L,0.007,1L,0.1L,0.16,0.02,10.3,1.03,0.06,0.05,14.4,221
2018/1/5 6:00,20.3,7.28,0.7,622,28,5.54,0.965,68,0.002L,0.009,1L,0.1L,0.16,0.01,9.5,1.04,0.04,0.02,8.66,222
2018/1/5 8:00,20.3,7.29,0.74,639,29,5.82,1.01,69.8,0.002L,0.008,1L,0.1L,0.18,0.04,6.72,0.82,0.05,0.03,10,200
2018/1/5 10:00,20.4,7.31,0.8,655,29,6.13,0.557,70.6,0.002L,0.005,1L,0.1L,0.18,0.02,7.92,0.83,0.04,0.02,9.04,201
2018/1/5 12:00,20.4,7.3,1.25,656,33,Z,Z,Z,Z,Z,Z,Z,Z,Z,8.67,0.84,0.05,0.03,9.7,202
2018/1/5 20:00,20.4,7.34,0.94,747,14,6.13,0.557,70.6,0.002L,0.005,1L,0.1L,0.18,0.02,6.65,0.88,0.06,0.04,11.7,206
2018/1/5 22:00,20.3,7.35,0.7,752,11,6.5,0.647,76.8,0.002L,0.011,1L,0.1L,0.23,0.06,6.1,0.89,0.03,0,6.21,207
2018/1/6 0:00,20.2,7.36,0.96,754,10,7.15,1.152,75.9,0.002L,0.005L,1L,0.1L,0.21,0.06,7.76,0.89,0.05,0.03,10.6,207
2018/1/6 2:00,20.1,7.37,1.15,767,11,7.24,1.204,77.5,0.002L,0.005,1L,0.1L,0.21,0.11,8.3,0.9,0.04,0.02,8.74,208
2018/1/6 4:00,20,7.37,0.68,791,10,7.02,1.233,78,0.002L,0.01,1L,0.1L,0.2,0.16,5.9,0.92,0.03,0,6.51,210
2018/1/6 6:00,19.9,7.37,0.67,764,11,7.66,1.24,78.9,0.002L,0.005L,1L,0.1L,0.21,0.21,6.96,0.93,0.04,0.02,8.86,211
2018/1/6 8:00,19.7,7.37,0.78,761,17,7.2,1.264,79.9,0.002L,0.007,1L,0.1L,0.22,0.25,7.4,0.93,0.05,0.03,10.8,211
